School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
5427,Albany Rise Primary School,Government,Primary,74-82 Albany Drive,Mulgrave,3170,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.172891,-37.928122,23.19,Government,Primary,Inner Eastern Melbourne,Mulgrave,,,
1981,Alia College,Independent,Secondary,405 Tooronga Road,Hawthorn East,3123,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.045173,-37.843225,8.57,Independent,Secondary,Inner Eastern Melbourne,Hawthorn East,,,
5428,Amsleigh Park Primary School,Government,Primary,17 State Street,Oakleigh East,3166,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.108784,-37.900321,16.89,Government,Primary,Inner Eastern Melbourne,Oakleigh East,,,
1838,Andale School,Independent,Special,84 Charles Street,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.036044,-37.805513,6.33,Independent,Special,Inner Eastern Melbourne,Kew,,,
5104,Andersons Creek Primary School,Government,Primary,36-42 Drysdale Road,Warrandyte,3113,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.20768,-37.74822,22.16,Government,Primary,Inner Eastern Melbourne,Warrandyte,,,
4844,Antonio Park Primary School,Government,Primary,631-639 Whitehorse Road,Mitcham,3132,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.206002,-37.816188,21.31,Government,Primary,Inner Eastern Melbourne,Mitcham,,,
4317,Ashburton Primary School,Government,Primary,Fakenham Road,Ashburton,3147,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.083622,-37.862199,12.55,Government,Primary,Inner Eastern Melbourne,Ashburton,,,
8743,Ashwood High School,Government,Secondary,50 Vannam Drive,Ashwood,3147,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.103328,-37.864527,14.16,Government,Secondary,Inner Eastern Melbourne,Ashwood,,,
5097,Ashwood School,Government,Special,Montpellier Road,Ashwood,3147,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.107162,-37.859665,14.19,Government,Special,Inner Eastern Melbourne,Ashwood,,,
7526,Auburn High School,Government,Secondary,26 Burgess Street,Hawthorn East,3123,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.045067,-37.83988,8.36,Government,Secondary,Inner Eastern Melbourne,Hawthorn East,,,
2948,Auburn Primary School,Government,Primary,51 Rathmines Road,Hawthorn East,3123,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.050484,-37.820278,7.90,Government,Primary,Inner Eastern Melbourne,Hawthorn East,,,
4183,Auburn South Primary School,Government,Primary,419 Tooronga Road,Hawthorn East,3123,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.045894,-37.839263,8.39,Government,Primary,Inner Eastern Melbourne,Hawthorn East,,,
5511,Aurora School,Government,Special,96 Holland Road,Blackburn South,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.1507912,-37.84017872,16.98,Government,Special,Inner Eastern Melbourne,Blackburn South,,,
1651,Avila College,Catholic,Secondary,35 Charles Street,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.133255,-37.874671,17.00,Catholic,Secondary,Inner Eastern Melbourne,Mount Waverley,,,
7550,Balwyn High School,Government,Secondary,Buchanan Avenue,Balwyn North,3104,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.0767724,-37.79785922,9.89,Government,Secondary,Inner Eastern Melbourne,Balwyn North,,,
4638,Balwyn North Primary School,Government,Primary,Buchanan Avenue,Balwyn North,3104,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.077044,-37.796699,9.91,Government,Primary,Inner Eastern Melbourne,Balwyn North,,,
