id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,Custom Field:Education Sector,Custom Field:School Type,Custom Field:Area,Custom Field:Suburb,Custom Field:Nearest Six Secondary,Custom Field:Distance from Melbourne Connect
905427,2,"74-82 Albany Drive, Mulgrave, 3170",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Mulgrave</div><div><strong>Distance from Melbourne Connect:</strong> 23.19 km</div>,,,,-37.928122,145.172891,0,Albany Rise Primary School,0,,1,0,Government,Primary,Inner Eastern Melbourne,Mulgrave,No,23.19
901981,2,"405 Tooronga Road, Hawthorn East, 3123",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Hawthorn East</div><div><strong>Distance from Melbourne Connect:</strong> 8.57 km</div>,,,,-37.843225,145.045173,0,Alia College,0,,1,0,Independent,Secondary,Inner Eastern Melbourne,Hawthorn East,No,8.57
905428,2,"17 State Street, Oakleigh East, 3166",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Oakleigh East</div><div><strong>Distance from Melbourne Connect:</strong> 16.89 km</div>,,,,-37.900321,145.108784,0,Amsleigh Park Primary School,0,,1,0,Government,Primary,Inner Eastern Melbourne,Oakleigh East,No,16.89
901838,2,"84 Charles Street, Kew, 3101",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Special</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Kew</div><div><strong>Distance from Melbourne Connect:</strong> 6.33 km</div>,,,,-37.805513,145.036044,0,Andale School,0,,1,0,Independent,Special,Inner Eastern Melbourne,Kew,No,6.33
905104,2,"36-42 Drysdale Road, Warrandyte, 3113",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Warrandyte</div><div><strong>Distance from Melbourne Connect:</strong> 22.16 km</div>,,,,-37.74822,145.20768,0,Andersons Creek Primary School,0,,1,0,Government,Primary,Inner Eastern Melbourne,Warrandyte,No,22.16
904844,2,"631-639 Whitehorse Road, Mitcham, 3132",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Mitcham</div><div><strong>Distance from Melbourne Connect:</strong> 21.31 km</div>,,,,-37.816188,145.206002,0,Antonio Park Primary School,0,,1,0,Government,Primary,Inner Eastern Melbourne,Mitcham,No,21.31
904317,2,"Fakenham Road, Ashburton, 3147",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Ashburton</div><div><strong>Distance from Melbourne Connect:</strong> 12.55 km</div>,,,,-37.862199,145.083622,0,Ashburton Primary School,0,,1,0,Government,Primary,Inner Eastern Melbourne,Ashburton,No,12.55
908743,2,"50 Vannam Drive, Ashwood, 3147",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Ashwood</div><div><strong>Distance from Melbourne Connect:</strong> 14.16 km</div>,,,,-37.864527,145.103328,0,Ashwood High School,0,,1,0,Government,Secondary,Inner Eastern Melbourne,Ashwood,No,14.16
905097,2,"Montpellier Road, Ashwood, 3147",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Special</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Ashwood</div><div><strong>Distance from Melbourne Connect:</strong> 14.19 km</div>,,,,-37.859665,145.107162,0,Ashwood School,0,,1,0,Government,Special,Inner Eastern Melbourne,Ashwood,No,14.19
907526,2,"26 Burgess Street, Hawthorn East, 3123",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> Inner Eastern Melbourne</div><div><strong>Suburb:</strong> Hawthorn East</div><div><strong>Distance from Melbourne Connect:</strong> 8.36 km</div>,,,,-37.83988,145.045067,0,Auburn High School,0,,1,0,Government,Secondary,Inner Eastern Melbourne,Hawthorn East,No,8.36
